                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     42,                 2.2707,                 2.3754,                 1.0057,                0.27353,                0.12847,                0.11559,                0.06431,                 2.1235,                  2.214,                0.98223,             2.5546e-05,             2.5546e-05,             2.5546e-05
                     43,                 2.3584,                 2.4476,                 1.0054,                0.32561,                0.12592,                0.11827,                0.06612,                 2.1135,                 2.1869,                0.98193,             2.5121e-05,             2.5121e-05,             2.5121e-05
                     44,                 2.3006,                  2.419,                0.99983,                0.33118,                0.12479,                0.11948,                0.06713,                 2.1104,                 2.1767,                0.98159,             2.4695e-05,             2.4695e-05,             2.4695e-05
                     45,                 2.3104,                 2.3765,                 1.0023,                0.33148,                0.12746,                0.12175,                0.06832,                 2.1057,                 2.1678,                0.98068,             2.4269e-05,             2.4269e-05,             2.4269e-05
                     46,                 2.3024,                 2.3977,                0.99481,                0.33922,                0.12887,                0.12434,                0.07001,                 2.0961,                 2.1615,                0.98012,             2.3843e-05,             2.3843e-05,             2.3843e-05
                     47,                 2.3052,                 2.3693,                0.99276,                0.29622,                 0.1317,                0.12499,                0.07037,                 2.0927,                 2.1568,                0.97877,             2.3418e-05,             2.3418e-05,             2.3418e-05
                     48,                 2.2683,                 2.3622,                 1.0032,                0.30149,                 0.1331,                0.12677,                0.07074,                 2.0952,                 2.1498,                0.97871,             2.2992e-05,             2.2992e-05,             2.2992e-05
                     49,                 2.2367,                 2.2981,                0.99858,                0.30623,                 0.1326,                0.12769,                0.07124,                 2.0889,                  2.124,                0.97719,             2.2566e-05,             2.2566e-05,             2.2566e-05
                     50,                  2.241,                 2.2999,                0.98537,                0.31304,                0.13221,                0.12987,                0.07238,                 2.0857,                 2.1164,                0.97699,             2.2141e-05,             2.2141e-05,             2.2141e-05
                     51,                 2.1983,                  2.242,                0.98906,                0.31567,                0.13384,                0.13266,                0.07368,                 2.0778,                 2.0714,                0.97408,             2.1715e-05,             2.1715e-05,             2.1715e-05
                     52,                 2.2738,                  2.307,                0.98432,                0.35804,                0.13492,                0.13399,                0.07489,                 2.0671,                 2.0619,                0.97232,             2.1289e-05,             2.1289e-05,             2.1289e-05
                     53,                 2.2844,                  2.292,                0.98699,                0.35947,                0.13494,                0.13511,                0.07606,                 2.0564,                 2.0448,                0.97063,             2.0864e-05,             2.0864e-05,             2.0864e-05
                     54,                 2.2228,                 2.2473,                0.99192,                0.32542,                0.13447,                0.13721,                 0.0774,                 2.0554,                 2.0406,                0.97047,             2.0438e-05,             2.0438e-05,             2.0438e-05
                     55,                 2.2672,                 2.2727,                0.98096,                0.33066,                0.13582,                0.13839,                0.07827,                 2.0507,                 2.0377,                0.97142,             2.0012e-05,             2.0012e-05,             2.0012e-05
                     56,                 2.2655,                 2.2907,                0.98505,                0.32734,                0.13883,                0.13967,                0.07886,                 2.0528,                  2.032,                0.97325,             1.9586e-05,             1.9586e-05,             1.9586e-05
                     57,                 2.1779,                 2.1958,                0.98874,                0.33561,                0.13832,                0.14137,                0.07988,                 2.0478,                 2.0265,                0.97209,             1.9161e-05,             1.9161e-05,             1.9161e-05
                     58,                 2.2343,                 2.2338,                0.98618,                0.33463,                 0.1382,                0.14228,                0.08057,                 2.0458,                 2.0169,                0.97104,             1.8735e-05,             1.8735e-05,             1.8735e-05
                     59,                 2.2101,                 2.2048,                0.99145,                0.33829,                0.13967,                 0.1441,                0.08134,                 2.0431,                 2.0161,                0.97168,             1.8309e-05,             1.8309e-05,             1.8309e-05
                     60,                 2.1687,                 2.1624,                0.98549,                0.34146,                0.14138,                0.14539,                0.08211,                 2.0353,                  2.003,                0.96978,             1.7884e-05,             1.7884e-05,             1.7884e-05
                     61,                 2.2307,                 2.1999,                0.98169,                0.34124,                0.14215,                0.14608,                0.08243,                 2.0315,                 1.9995,                0.96929,             1.7458e-05,             1.7458e-05,             1.7458e-05
                     62,                 2.2745,                 2.2245,                0.96991,                0.30423,                0.14142,                0.14703,                0.08236,                 2.0307,                 1.9915,                0.97038,             1.7032e-05,             1.7032e-05,             1.7032e-05
                     63,                 2.1904,                 2.2257,                0.98065,                 0.3379,                0.14282,                0.14746,                0.08273,                 2.0323,                 1.9857,                0.97015,             1.6607e-05,             1.6607e-05,             1.6607e-05
                     64,                 2.1582,                 2.1513,                0.99596,                0.34116,                0.14345,                0.14965,                 0.0844,                 2.0341,                 1.9818,                0.96876,             1.6181e-05,             1.6181e-05,             1.6181e-05
                     65,                 2.2122,                 2.1908,                0.98275,                0.34433,                0.14419,                0.15072,                0.08499,                 2.0371,                 1.9774,                0.96805,             1.5755e-05,             1.5755e-05,             1.5755e-05
                     66,                  2.246,                 2.2153,                0.97918,                0.34223,                0.14661,                0.15244,                0.08616,                 2.0281,                  1.972,                0.96733,             1.5329e-05,             1.5329e-05,             1.5329e-05
                     67,                 2.2424,                 2.2073,                0.97704,                0.34757,                0.14617,                0.15257,                0.08661,                 2.0146,                 1.9609,                0.96716,             1.4904e-05,             1.4904e-05,             1.4904e-05
                     68,                 2.1646,                 2.1557,                0.98217,                0.35034,                0.14704,                0.15278,                0.08694,                 2.0147,                 1.9593,                0.96806,             1.4478e-05,             1.4478e-05,             1.4478e-05
                     69,                 2.1476,                 2.1467,                0.98332,                0.34975,                0.14652,                  0.153,                0.08706,                 2.0128,                 1.9553,                 0.9681,             1.4052e-05,             1.4052e-05,             1.4052e-05
                     70,                 2.1545,                 2.1286,                0.98656,                0.34887,                0.14746,                0.15459,                0.08779,                 2.0103,                 1.9463,                0.96679,             1.3627e-05,             1.3627e-05,             1.3627e-05
                     71,                 2.2124,                 2.1657,                0.98729,                0.34699,                0.14777,                0.15575,                0.08845,                 2.0105,                 1.9327,                0.96529,             1.3201e-05,             1.3201e-05,             1.3201e-05
                     72,                  2.159,                 2.1198,                0.97397,                0.36757,                0.14932,                0.15792,                 0.0896,                   2.01,                  1.923,                0.96468,             1.2775e-05,             1.2775e-05,             1.2775e-05
                     73,                 2.2155,                 2.1515,                0.97638,                0.37329,                0.14906,                0.15775,                0.08966,                 2.0062,                 1.9227,                0.96451,              1.235e-05,              1.235e-05,              1.235e-05
                     74,                 2.1659,                 2.1422,                0.96744,                 0.3668,                0.15024,                0.15887,                0.09051,                      2,                 1.9187,                0.96361,             1.1924e-05,             1.1924e-05,             1.1924e-05
                     75,                 2.1999,                 2.1812,                 0.9774,                0.37232,                0.14916,                0.15952,                0.09072,                  1.996,                 1.9232,                0.96477,             1.1498e-05,             1.1498e-05,             1.1498e-05
                     76,                 2.1686,                 2.1397,                0.97854,                0.37117,                0.14967,                 0.1609,                0.09134,                 1.9931,                 1.9172,                 0.9639,             1.1073e-05,             1.1073e-05,             1.1073e-05
                     77,                 2.1939,                 2.1091,                0.97958,                0.37716,                0.15088,                0.16222,                0.09234,                 1.9918,                  1.901,                0.96199,             1.0647e-05,             1.0647e-05,             1.0647e-05
                     78,                 2.2103,                 2.1385,                 0.9744,                0.37995,                0.15213,                0.16342,                0.09303,                 1.9937,                 1.8981,                0.96118,             1.0221e-05,             1.0221e-05,             1.0221e-05
                     79,                 2.1873,                 2.1306,                0.97172,                0.33949,                0.15237,                 0.1643,                0.09369,                  1.993,                 1.8994,                0.96171,             9.7954e-06,             9.7954e-06,             9.7954e-06
                     80,                 2.1703,                 2.1246,                0.97369,                0.33904,                0.15221,                0.16444,                0.09409,                 1.9887,                 1.9037,                0.96311,             9.3697e-06,             9.3697e-06,             9.3697e-06
                     81,                  2.167,                 2.1376,                 0.9813,                0.33894,                 0.1527,                0.16457,                0.09399,                 1.9864,                 1.8965,                0.96318,              8.944e-06,              8.944e-06,              8.944e-06
                     82,                 2.2041,                  2.125,                0.98411,                0.38467,                0.15239,                 0.1645,                0.09405,                  1.985,                 1.8897,                 0.9624,             8.5183e-06,             8.5183e-06,             8.5183e-06
                     83,                 2.1798,                 2.1318,                0.97901,                 0.3378,                0.15456,                0.16473,                0.09402,                 1.9831,                 1.8832,                 0.9607,             8.0926e-06,             8.0926e-06,             8.0926e-06
                     84,                   2.18,                 2.1278,                0.97389,                0.33746,                0.15411,                0.16548,                0.09462,                 1.9852,                 1.8852,                0.96096,             7.6669e-06,             7.6669e-06,             7.6669e-06
                     85,                 2.1616,                 2.1502,                0.97222,                0.34077,                0.15503,                 0.1667,                 0.0951,                 1.9875,                 1.8902,                0.96169,             7.2412e-06,             7.2412e-06,             7.2412e-06
                     86,                 2.1303,                 2.0754,                0.98266,                0.36413,                0.15481,                0.16656,                0.09507,                  1.984,                 1.8878,                  0.962,             6.8155e-06,             6.8155e-06,             6.8155e-06
                     87,                 2.1571,                 2.1084,                0.97408,                0.36414,                0.15344,                0.16646,                0.09533,                 1.9818,                 1.8867,                0.96257,             6.3898e-06,             6.3898e-06,             6.3898e-06
                     88,                 2.1113,                   2.09,                0.98572,                0.36436,                0.15395,                0.16699,                0.09577,                 1.9802,                 1.8847,                0.96316,             5.9641e-06,             5.9641e-06,             5.9641e-06
                     89,                 2.1206,                 2.0671,                0.98103,                0.34206,                0.15565,                0.16752,                0.09594,                 1.9786,                 1.8738,                0.96206,             5.5384e-06,             5.5384e-06,             5.5384e-06
                     90,                 2.0943,                 2.0213,                0.99979,                  0.334,                0.15587,                0.16628,                0.09492,                 1.9791,                 1.8609,                0.96042,             5.1127e-06,             5.1127e-06,             5.1127e-06
                     91,                 2.1567,                 2.0856,                0.98986,                 0.3305,                0.15812,                0.16515,                0.09369,                 1.9823,                 1.8625,                0.95739,              4.687e-06,              4.687e-06,              4.687e-06
                     92,                 2.1026,                 2.0452,                0.98934,                0.32556,                0.15763,                0.16337,                0.09268,                 1.9849,                 1.8714,                0.95671,             4.2613e-06,             4.2613e-06,             4.2613e-06
                     93,                 2.0895,                 2.0347,                0.98765,                0.31997,                0.15782,                0.16367,                0.09288,                 1.9834,                  1.872,                0.95621,             3.8356e-06,             3.8356e-06,             3.8356e-06
                     94,                 2.1144,                 2.0151,                0.99444,                 0.3166,                0.15764,                0.16298,                0.09226,                 1.9835,                 1.8767,                0.95574,             3.4099e-06,             3.4099e-06,             3.4099e-06
                     95,                 2.0905,                 1.9998,                0.98678,                0.31782,                 0.1574,                0.16385,                0.09284,                 1.9815,                 1.8735,                0.95563,             2.9842e-06,             2.9842e-06,             2.9842e-06
                     96,                 2.1197,                 2.0375,                0.98505,                0.31938,                0.15747,                0.16409,                0.09323,                 1.9765,                 1.8694,                0.95573,             2.5585e-06,             2.5585e-06,             2.5585e-06
                     97,                 2.0979,                  2.024,                0.98838,                0.31858,                0.15747,                0.16388,                0.09323,                 1.9762,                 1.8679,                0.95578,             2.1328e-06,             2.1328e-06,             2.1328e-06
                     98,                 2.0842,                 1.9985,                 1.0003,                0.31895,                0.15892,                0.16415,                0.09341,                 1.9734,                 1.8631,                0.95584,             1.7071e-06,             1.7071e-06,             1.7071e-06
                     99,                 2.0679,                 1.9711,                 1.0015,                0.31977,                0.15861,                0.16404,                0.09331,                 1.9742,                  1.862,                0.95662,             1.2814e-06,             1.2814e-06,             1.2814e-06
